1,14,6,1,0,26,2,1,4,1,0,5,0,399,4,0,1,2,0,2,1,1,0,0,2,9,1,5,4,0,0,1,10
9,22,9,5,2,30,5,3,5,0,2,5,2,399,9,0,5,7,1,3,2,1,0,3,6,16,1,8,4,0,2,2,27
15,35,27,10,2,51,23,3,8,1,3,9,2,494,24,1,9,18,3,4,2,2,0,5,15,19,1,15,8,0,2,5,42
39,39,57,18,4,76,23,4,19,7,8,32,5,689,43,7,17,18,4,17,2,3,1,15,27,32,6,28,10,0,3,11,61
60,66,75,35,7,109,36,5,22,12,14,82,8,964,69,7,32,36,4,21,5,4,1,22,46,38,9,44,14,0,4,16,103
70,77,110,59,14,147,46,7,32,17,20,127,8,1302,100,11,46,70,6,27,6,7,6,35,75,49,13,69,23,0,5,26,127
106,86,132,80,19,203,49,9,39,32,32,167,8,3349,143,15,69,106,8,34,7,11,6,46,95,61,27,90,24,0,10,44,170
150,106,146,84,24,272,56,8,42,47,37,203,10,3341,221,16,98,106,9,38,7,12,6,56,129,90,26,106,27,0,13,55,293
198,109,181,101,26,344,76,11,44,64,42,274,10,4651,275,19,128,157,13,40,7,17,8,63,157,106,34,140,31,1,14,70,424
234,133,210,120,29,425,85,27,50,81,57,347,12,5461,330,19,163,233,13,47,7,21,8,87,182,125,38,175,32,1,17,82,524
292,158,243,144,40,521,98,27,60,95,76,417,13,6736,381,22,196,277,16,63,7,26,9,101,203,158,46,203,41,1,18,91,578
333,181,291,159,48,617,109,36,59,100,91,481,15,10532,447,26,229,321,22,69,8,28,11,116,224,171,63,219,47,1,21,102,629
394,199,326,178,52,704,120,44,67,109,117,548,15,12722,499,33,263,373,30,73,8,30,13,128,252,192,72,239,59,1,24,112,681
460,204,355,191,53,783,129,56,74,121,149,646,16,15677,562,34,296,456,41,79,10,33,15,140,264,206,77,267,65,1,29,117,767
507,228,372,194,56,846,137,54,93,128,181,715,20,18483,607,39,318,521,52,85,10,33,14,159,292,227,76,276,66,1,32,123,817
557,242,385,201,56,901,154,64,97,143,216,793,23,20677,630,42,339,563,55,89,9,39,15,164,320,231,84,289,76,1,36,126,860
618,263,393,204,58,945,155,74,105,149,262,825,24,23139,660,45,365,616,60,92,9,38,15,167,349,246,89,301,78,1,39,126,883
674,279,387,215,66,982,166,81,108,164,277,861,25,24881,646,47,388,643,64,97,9,30,15,175,372,244,94,303,83,1,42,121,873
706,287,415,215,65,989,176,91,109,170,287,874,28,26965,651,49,397,667,65,95,9,32,15,183,380,248,94,314,86,1,45,123,874
739,291,418,222,64,991,185,98,116,175,294,876,37,28532,670,53,411,665,66,95,9,36,15,183,399,250,94,324,86,1,49,130,850
751,291,423,222,60,964,181,109,121,189,324,880,48,29659,664,53,422,675,62,92,9,31,13,187,406,250,94,331,94,1,52,133,847
758,293,413,219,54,943,189,114,126,195,339,881,48,29612,640,54,418,691,60,95,8,34,9,182,403,253,93,343,99,0,56,128,810
748,294,397,222,49,925,187,107,123,194,353,863,51,43437,627,55,431,701,59,94,7,40,7,183,402,252,90,346,95,0,56,129,785
735,289,380,218,49,897,188,111,112,193,361,816,54,48175,622,59,436,712,60,89,7,43,7,176,385,227,89,348,86,0,58,126,752
723,273,355,214,39,882,189,101,119,187,346,808,54,49030,574,61,418,702,61,87,7,37,5,172,374,201,82,350,82,0,59,126,734
701,268,339,205,34,849,186,97,106,192,355,778,54,49847,537,62,399,684,58,80,5,37,5,165,362,187,79,347,76,0,58,129,711
687,263,323,200,31,794,183,88,100,176,361,721,57,50338,505,64,368,654,54,77,5,35,5,161,348,171,77,336,76,0,62,124,664
615,261,296,199,27,759,171,78,80,166,342,716,59,50633,476,65,349,622,52,67,5,28,3,151,329,155,70,336,77,0,63,115,637
567,244,281,181,24,720,156,74,80,150,338,670,56,49665,443,65,313,571,52,65,5,29,2,140,310,145,63,323,73,0,55,111,570
